scorevideo	LOG
File:
logXCB7_log.mat

VIDEO	FILE	SET
Videotype:	AVI
Directory:	G:\Roya\NEW	XCB	cohort\
Video	file	set:msng	XCB7	Blue	081617	1-166545
Play	duration	(min):	92.525
Frames/sec	of	files:	30
No.	of	subjects:	2

COMMAND	SET	AND	SETTINGS
-------------------------------
start	stop	subject	description
-------------------------------
82071	45:35.70	chase	female	either
82161	45:38.70	attack	yellow	(right)	either
82529	45:50.97	pot	entry	either
82553	45:51.77	pot	exit	either
82757	45:58.57	attack	female	either
82873	46:02.43	blue	lateral	display	(left)	either
83171	46:12.37	blue	lateral	display	(left)	either
83281	46:16.03	blue	lateral	display	(left)	either
83363	46:18.77	attack	blue	(left)	either
83395	46:19.83	blue	lateral	display	(left)	either
83471	46:22.37	attack	female	either
83559	46:25.30	quiver	at	female	either
83731	46:31.03	blue	lateral	display	(left)	either
83823	46:34.10	attack	female	either
83869	46:35.63	chase	female	either
84099	46:43.30	blue	lateral	display	(left)	either
84371	46:52.37	blue	lateral	display	(left)	either
84449	46:54.97	blue	lateral	display	(left)	either
84567	46:58.90	quiver	at	female	either
84673	47:02.43	attack	female	either
84755	47:05.17	chase	female	either
84893	47:09.77	attack	blue	(left)	either
84939	47:11.30	blue	lateral	display	(left)	either
85025	47:14.17	blue	lateral	display	(left)	either
85163	47:18.77	attack	blue	(left)	either
85193	47:19.77	blue	lateral	display	(left)	either
85397	47:26.57	attack	female	either
85583	47:32.77	attack	blue	(left)	either
85629	47:34.30	blue	lateral	display	(left)	either
85879	47:42.63	blue	lateral	display	(left)	either
85965	47:45.50	blue	lateral	display	(left)	either
86021	47:47.37	blue	lateral	display	(left)	either
86091	47:49.70	attack	blue	(left)	either
86107	47:50.23	blue	lateral	display	(left)	either
86177	47:52.57	attack	blue	(left)	either
86219	47:53.97	blue	lateral	display	(left)	either
86289	47:56.30	attack	blue	(left)	either
86397	47:59.90	blue	lateral	display	(left)	either
86461	48:02.03	attack	blue	(left)	either
86485	48:02.83	blue	lateral	display	(left)	either
86539	48:04.63	attack	blue	(left)	either
86549	48:04.97	blue	lateral	display	(left)	either
86585	48:06.17	attack	blue	(left)	either
86635	48:07.83	blue	lateral	display	(left)	either
86709	48:10.30	blue	lateral	display	(left)	either
86819	48:13.97	attack	blue	(left)	either
86907	48:16.90	blue	lateral	display	(left)	either
87057	48:21.90	blue	lateral	display	(left)	either
87275	48:29.17	attack	female	either
87693	48:43.10	attack	female	either
87983	48:52.77	lead	swim	either
88123	48:57.43	lead	swim	either
