scorevideo	LOG							
File:	logXCB1_log.mat							
								
VIDEO	FILE	SET						
Videotype:	AVI							
Directory:	F:\Roya\Color	Beh	for	Roya\NEW	XCB	cohort\XCB1	Blue	081017\
Video	file	set:						
	XCB1	Blue	81017	1-116535				
Play	duration	(min):	64.742					
Frames/sec	of	files:	30					
No.	of	subjects:	2					
								
COMMAND	SET	AND	SETTINGS					
-------------------------------								
start	stop	subject	description					
93423	51:54.1	attack	blue	(left)	either			
93481	51:56.0	attack	blue	(left)	either			
93581	51:59.4	quiver	at	female	either			
93629	52:01.0	lead	swim	either				
93807	52:06.9	attack	blue	(left)	either			
93943	52:11.4	lead	swim	either				
94063	52:15.4	blue	lateral	display	(left)	either		
94329	52:24.3	attack	blue	(left)	either			
94747	52:38.2	attack	blue	(left)	either			
94879	52:42.6	attack	blue	(left)	either			
95255	52:55.2	blue	lateral	display	(left)	either		
95895	53:16.5	lead	swim	either				
96063	53:22.1	attack	blue	(left)	either			
96101	53:23.4	blue	lateral	display	(left)	either		
96855	53:48.5	attack	blue	(left)	either			
96965	53:52.2	attack	blue	(left)	either			
97427	54:07.6	attack	blue	(left)	either			
97611	54:13.7	attack	blue	(left)	either			
97893	54:23.1	attack	blue	(left)	either			
98043	54:28.1	blue	lateral	display	(left)	either		
98189	54:33.0	attack	blue	(left)	either			
98269	54:35.6	attack	blue	(left)	either			
